"survey_id","country","community","years_fishing","age","boat_length_m","fishing_organization","education","gdp_prop","income_usd","NY.GDP.PCAP.KD","fishing_org_members","fishtech","boat_own","income_fishing","rank_one"
5008,"MEX","PSC",52,64,8,"y","formal",0.479836652661912,4992,10403.540397147,17,1,1,100,"iuu"
5009,"MEX","PSC",22,42,8,"y","higher",1.49948953956848,15600,10403.540397147,20,1,0,100,"iuu"
5010,"MEX","PSC",30,42,8,"y","formal",1.79938744748217,18720,10403.540397147,7,1,1,100,"corruption"
5011,"MEX","PSC",26,47,8,"y","formal",0.959673305323825,9984,10403.540397147,8,1,1,100,"iuu"
5012,"MEX","PSC",15,52,8,"y","formal",0.479836652661912,4992,10403.540397147,8,1,0,100,"iuu"
5013,"MEX","PSC",10,26,8,"y","formal",0.359877489496434,3744,10403.540397147,15,1,0,100,"corruption"
5014,"MEX","PSC",15,30,7,"y","higher",0.449846861870543,4680,10403.540397147,13,1,0,50,"iuu"
5015,"MEX","PSC",35,48,7,"y","formal",0.599795815827391,6240,10403.540397147,14,1,1,40,"pollution"
5016,"MEX","PSC",16,34,7,"n","formal",2.69908117122326,28080,10403.540397147,11,1,1,100,"corruption"
5017,"MEX","PSC",30,41,7,"y","formal",1.79938744748217,18720,10403.540397147,16,1,0,90,"pollution"
5018,"MEX","PSC",25,50,8,"y","formal",0.599795815827391,6240,10403.540397147,7,1,0,100,"corruption"
5019,"MEX","PSC",20,41,8,"y","formal",0.599795815827391,6240,10403.540397147,10,1,0,100,"corruption"
5020,"MEX","PSC",20,47,7,"y","formal",0.899693723741086,9360,10403.540397147,8,1,0,100,"pollution"
5021,"MEX","PSC",5,19,8,"y","formal",0.719754978992869,7488,10403.540397147,11,1,0,100,"pollution"
5023,"MEX","PSC",30,48,8,"y","formal",0.479836652661912,4992,10403.540397147,10,1,1,100,"corruption"
5024,"MEX","PSC",25,43,8,"y","formal",0.419857071079173,4368,10403.540397147,11,1,1,100,"corruption"
5025,"MEX","PSC",15,27,7,"y","higher",0.419857071079173,4368,10403.540397147,15,1,0,50,"corruption"
5026,"MEX","PSC",45,60,9,"y","formal",1.79938744748217,18720,10403.540397147,8,1,1,100,"pollution"
5027,"MEX","PSC",15,30,7,"y","higher",0.479836652661912,4992,10403.540397147,5,1,1,100,"iuu"
5028,"MEX","PSC",27,43,8,"y","formal",0.899693723741086,9360,10403.540397147,12,1,1,60,"pollution"
5029,"MEX","PSC",6,21,8,"n","formal",1.19959163165478,12480,10403.540397147,11,1,1,100,"corruption"
5030,"MEX","PSC",30,50,8,"y","formal",0.479836652661912,4992,10403.540397147,23,1,1,100,"pollution"
5031,"MEX","PSC",20,63,7,"y","no_formal",0.359877489496434,3744,10403.540397147,7,1,1,50,"corruption"
5032,"MEX","PSC",10,22,10,"y","formal",0.899693723741086,9360,10403.540397147,10,1,0,100,"weather"
5033,"MEX","PSC",35,45,6,"n","formal",0.719754978992869,7488,10403.540397147,11,1,1,100,"pollution"
5034,"MEX","PSC",42,63,8,"y","formal",0.599795815827391,6240,10403.540397147,6,1,1,100,"corruption"
5035,"MEX","PSC",23,44,8,"y","formal",1.61944870273395,16848,10403.540397147,8,1,1,100,"iuu"
5036,"MEX","PSC",15,31,7,"n","formal",0.899693723741086,9360,10403.540397147,11,1,1,100,"iuu"
5037,"MEX","PSC",19,36,7,"n","no_formal",1.79938744748217,18720,10403.540397147,11,1,1,100,"corruption"
5038,"MEX","PSC",6,19,8,"y","formal",0.719754978992869,7488,10403.540397147,8,1,0,100,"iuu"
5039,"MEX","PSC",22,40,7,"y","higher",1.19959163165478,12480,10403.540397147,8,1,0,100,"corruption"
5040,"MEX","PSC",34,53,7,"y","formal",3.59877489496434,37440,10403.540397147,16,1,1,45,"corruption"
5041,"MEX","PSC",23,30,7,"n","formal",1.79938744748217,18720,10403.540397147,11,1,1,100,"pollution"
5042,"MEX","PSC",7,27,7,"y","formal",1.97932619223039,20592,10403.540397147,10,1,1,100,"iuu"
5043,"MEX","PSC",23,41,8,"n","formal",0.779734560575608,8112,10403.540397147,11,1,1,100,"corruption"
5044,"MEX","PSC",39,52,8,"y","formal",0.899693723741086,9360,10403.540397147,15,1,1,100,"pollution"
5045,"MEX","PSC",2,19,8,"n","formal",0.899693723741086,9360,10403.540397147,11,1,0,85,"pollution"
5046,"MEX","PSC",4,20,8,"y","formal",1.19959163165478,12480,10403.540397147,12,1,0,70,"corruption"
5047,"MEX","PSC",38,59,8,"y","formal",1.49948953956848,15600,10403.540397147,8,1,1,100,"corruption"
6001,"MEX","ALT",13,27,7,"y","formal",0.359877489496434,3744,10403.540397147,26,1,1,100,"pollution"
6002,"MEX","ALT",5,25,7,"y","formal",0.899693723741086,9360,10403.540397147,18,1,1,100,"pollution"
6003,"MEX","ALT",15,41,7,"y","formal",0.479836652661912,4992,10403.540397147,18,1,1,100,"pollution"
6004,"MEX","ALT",36,56,7,"y","formal",0.239918326330956,2496,10403.540397147,20,1,1,100,"iuu"
6005,"MEX","ALT",44,56,7,"y","formal",1.79938744748217,18720,10403.540397147,84,1,1,100,"pollution"
6006,"MEX","ALT",10,33,7,"y","formal",0.779734560575608,8112,10403.540397147,26,1,1,100,"iuu"
6007,"MEX","ALT",35,54,7,"y","formal",0.419857071079173,4368,10403.540397147,99,1,1,50,"corruption"
6008,"MEX","ALT",38,55,7,"y","higher",1.22058448520874,12698.4,10403.540397147,96,1,0,30,"pollution"
6009,"MEX","ALT",42,60,7,"y","formal",0.599795815827391,6240,10403.540397147,99,1,1,100,"iuu"
6010,"MEX","ALT",35,50,8,"y","formal",0.299897907913695,3120,10403.540397147,96,1,1,100,"pollution"
6011,"MEX","ALT",40,59,7,"y","formal",0.479836652661912,4992,10403.540397147,98,1,1,50,"pollution"
6012,"MEX","ALT",49,61,22,"y","formal",0.599795815827391,6240,10403.540397147,96,1,1,50,"pollution"
6013,"MEX","ALT",14,31,7,"y","formal",0.359877489496434,3744,10403.540397147,98,1,1,50,"iuu"
6014,"MEX","ALT",15,35,7,"y","formal",0.479836652661912,4992,10403.540397147,96,1,1,50,"iuu"
6015,"MEX","ALT",41,58,7,"y","formal",0.779734560575608,8112,10403.540397147,96,1,1,70,"pollution"
6016,"MEX","ALT",34,48,7,"y","formal",0.239918326330956,2496,10403.540397147,96,1,1,50,"pollution"
6017,"MEX","ALT",6,25,8,"y","formal",0.359877489496434,3744,10403.540397147,96,1,1,100,"iuu"
6018,"MEX","ALT",15,35,7,"y","formal",0.599795815827391,6240,10403.540397147,96,1,1,50,"iuu"
6019,"MEX","ALT",44,58,7,"y","formal",0.959673305323825,9984,10403.540397147,98,1,1,100,"pollution"
6020,"MEX","ALT",7,25,7,"y","formal",0.299897907913695,3120,10403.540397147,86,1,1,50,"iuu"
6021,"MEX","ALT",3,17,7,"y","formal",1.79938744748217,18720,10403.540397147,69,1,1,20,"iuu"
6022,"MEX","ALT",29,37,8,"y","formal",0.239918326330956,2496,10403.540397147,70,1,1,75,"pollution"
6023,"MEX","ALT",47,63,7,"y","formal",0.479836652661912,4992,10403.540397147,70,1,1,70,"pollution"
6024,"MEX","ALT",15,58,7,"y","formal",0.269908117122326,2808,10403.540397147,22,1,1,50,"pollution"
